"Name","TID","PosX","PosY","Radius","DeployType","DeployCount","UseAbility","PauseGame","Duration","SlowdownPercentage","ForceType","ForceLocation","ForceExactLocation","ShowObject","WaitUntilDestroyed","ObjectGID"
"TH6_Giwiwa_Wizards2","TID_NPC_CHALLENGE_TH6_GIWIWA_WIZARDS2",18,36,200,"Wizard",6,,"true",,,"true",,,,,
"TH6_Giwiwa_Heal1","TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL1",18,28,100,"HealingWave",1,,"true",,,"true","true",,,,
"TH6_Giwiwa_Wait_For_Heal",,,,,,,,,,,,,,,"true",500000132
"TH6_Giwiwa_Heal2","TID_NPC_CHALLENGE_TH6_GIWIWA_HEAL2",20,21,100,"HealingWave",1,,,,,"true",,,,,
"TH5_Loon_Loons1","TID_NPC_CHALLENGE_LOON_1",0,10,150,"Balloon",12,,"true",,,,,,,,
"TH5_Loon_Loons2","TID_NPC_CHALLENGE_LOON_2",17,0,150,"Balloon",5,,"true",,,,,,,,
,,21,0,150,"Balloon",5,,"true",,,,,,,,
"TH5_Loon_Loons3","TID_NPC_CHALLENGE_LOON_3",,,,,,,,5000,,"true",,,,,
"TH5_Loon_Loons4","TID_NPC_CHALLENGE_LOON_4",14,23,150,"Balloon",5,,"true",,,,,,,,
"TH7_Dragon_Info_AirSweeper","TID_NPC_CHALLENGE_INFO_AIR_SWEEPER",,,,,,,,5000,,"true",,,"true",,500000230
"TH7_Dragon_Lightning","TID_NPC_CHALLENGE_TH7_DRAGON_LIGHTNING",23,13,100,"LighningStorm",5,,,,,"true",,,,,
"TH7_Dragon_BarbarianKing","TID_NPC_CHALLENGE_TH7_DRAGON_BARBARIAN_KING",35,3,150,"Barbarian King",1,,,,,"true",,,,,
"TH7_Dragon_Dragons1","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS1",35,3,150,"Dragon",1,,"true",,,"true",,,,,
,,35,32,150,,1,,,,,,,,,,
"TH7_Dragon_Dragons2","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS2",5,32,150,"Dragon",1,,"true",,,"true",,,,,
"TH7_Dragon_Dragons3","TID_NPC_CHALLENGE_TH7_DRAGON_DRAGONS3",35,18,200,"Dragon",7,,,,,"true",,,,,
"TH12_Bowigi_Healers_TextOnly","TID_NPC_CHALLENGE_BOWIGI_HEALERS",,,,,,,,3000,,,,,,,
"TH12_Bowigi_Healers","TID_NPC_CHALLENGE_BOWIGI_HEALERS",0,40,150,"Healer",5,,"true",,,"true","true","true",,,
"TH12_Bowigi_ArcherQueen","TID_NPC_CHALLENGE_BOWIGI_ARCHERQUEEN",5,35,150,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH12_Bowigi_Balloon1","TID_NPC_CHALLENGE_BOWIGI_BALLOON1",5,33,200,"Balloon",1,,"true",,,"true",,,,,
"TH12_Bowigi_Rage1","TID_NPC_CHALLENGE_RAGE_THE_HEALERS",8,35,200,"Haste",1,,"true",,,"true","true","true",,,
"TH12_Bowigi_Giants","TID_NPC_CHALLENGE_BOWIGI_GIANTS",23,39,200,"Giant",3,,"true",,25,"true",,,,,
,,36,36,200,"Giant",2,,,,,,,,,,
"TH12_Bowigi_WallWrecker","TID_NPC_CHALLENGE_BOWIGI_WALLWRECKER",23,39,200,"Siege Machine Ram",1,,"true",,,"true",,,,,
"TH12_Bowigi_BarbarianKing","TID_NPC_CHALLENGE_BOWIGI_WALLWRECKER",36,36,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH12_Bowigi_GrandWarden","TID_NPC_CHALLENGE_BOWIGI_WALLWRECKER",23,39,200,"Grand Warden",1,,"true",,,"true",,,,,
"TH12_Bowigi_Witches","TID_NPC_CHALLENGE_BOWIGI_WITCHES",23,40,200,"Warlock",3,,"true",,,"true",,,,,
"TH12_Bowigi_Bowlers","TID_NPC_CHALLENGE_BOWIGI_BOWLERS",23,39,200,"Bowler",10,,"true",,25,"true",,,,,
,,36,36,200,"Bowler",5,,,,,,,,,,
"TH12_Bowigi_Freeze1","TID_NPC_CHALLENGE_BOWIGI_FREEZE1",23,29,200,"Freeze",1,,"true",,,"true",,,,,
"TH12_Bowigi_Freeze2","TID_NPC_CHALLENGE_BOWIGI_FREEZE2",22,23,200,"Freeze",1,,"true",,,"true",,,,,
"TH12_Bowigi_WallBreakers","TID_NPC_CHALLENGE_BOWIGI_WALLBREAKERS",40,36,200,"Wall Breaker",3,,"true",,,"true",,,,,
"TH12_Bowigi_Rage2","TID_NPC_CHALLENGE_BOWIGI_RAGE2",23,27,500,"Haste",1,,"true",,,"true",,,,,
,,33,27,500,"Haste",1,,,,,,,,,,
"WardenAbility","TID_NPC_CHALLENGE_WARDENABILITY",,,,"Grand Warden",,"true","true",,,,,,,,
"TH12_Bowigi_Jump","TID_NPC_CHALLENGE_JUMP_TO_CLOSED_COMPARTMENTS",26,16,400,"Jump",1,,"true",,,"true",,,,,
"TH12_Bowigi_KingAbility","TID_NPC_CHALLENGE_BOWIGI_KINGABILITY",,,,"Barbarian King",,"true","true",,,,,,,,
"TH12_Bowigi_WaitForWarden",,,,,,,,,,,,,,,"true",500000000
"TH12_Bowigi_CleanUp","TID_NPC_CHALLENGE_BOWIGI_CLEANUP",,,,,,,,10000,,,,,,,
"TH4_Giant_Giants1","TID_NPC_CHALLENGE_TH4_GIANT_GIANTS1",23,35,100,"Giant",1,,"true",,,"true","true","true",,,
"TH4_Giant_WallBreakers","TID_NPC_CHALLENGE_TH4_GIANT_WALL_BREAKERS",25,37,100,"Wall Breaker",2,,"true",,10,"true","true","true",,,
"TH4_Giant_Giants2","TID_NPC_CHALLENGE_TH4_GIANT_GIANTS2",25,36,200,"Giant",12,,"true",,,"true",,,,,
"TH4_Giant_Goblins","TID_NPC_CHALLENGE_TH4_GIANT_GOBLINS",,,,,,,,25000,,,,,,,
"TH7_Hog_BarbarianKing","TID_NPC_CHALLENGE_TH7_HOG_BARBARIAN_KING",10,25,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH7_Hog_Wizards","TID_NPC_CHALLENGE_TH7_HOG_WIZARDS",10,25,200,"Wizard",5,,"true",,,"true",,,,,
"TH7_Hog_Hogs","TID_NPC_CHALLENGE_TH7_HOG_HOGS",45,27,300,"Boar Rider",36,,"true",,,"true",,,,,
"TH7_Hog_Wait_For_Heal",,,,,,,,,,,,,,,"true",500000200
"TH7_Hog_Heal1","TID_NPC_CHALLENGE_TH7_HOG_HEAL1",30,25,200,"HealingWave",1,,"true",10000,,"true",,,,,
"TH7_Hog_Heal2","TID_NPC_CHALLENGE_TH7_HOG_HEAL2",,,,,,,,10000,,,,,,,
"TH7_Minion_Info_AirSweeper","TID_NPC_CHALLENGE_INFO_AIR_SWEEPER",,,,,,,,5000,,"true",,,"true",,500000230
"TH7_Minion_Balloons","TID_NPC_CHALLENGE_TH7_MINION_BALLOONS",45,27,300,"Balloon",15,,"true",,,"true",,,,,
,,30,43,300,"Balloon",15,,,,,,,,,,
"TH7_Minion_Rage1","TID_NPC_CHALLENGE_TH7_MINION_RAGE1",33,25,200,"Haste",1,,"true",,,"true",,,,,
,,27,31,200,"Haste",1,,,,,,,,,,
"TH7_Minion_BarbarianKing","TID_NPC_CHALLENGE_TH7_MINION_BARBARIAN_KING",33,8,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH7_Minion_Minions","TID_NPC_CHALLENGE_TH7_MINION_MINIONS",35,6,300,"Gargoyle",25,,"true",,,"true",,,,,
"TH7_Minion_Rage2","TID_NPC_CHALLENGE_TH7_MINION_RAGE2",31,14,200,"Haste",1,,"true",,,"true",,,,,
"TH8_Gowipe_Earthquake","TID_NPC_CHALLENGE_TH8_GOWIPE_EARTHQUAKE",28,20,200,"Earthquake",1,,"true",,,"true",,,,,
"TH8_Gowipe_Funnel_Pekkas","TID_NPC_CHALLENGE_TH8_GOWIPE_FUNNEL_PEKKAS",11,14,200,"PEKKA",1,,"true",,25,"true",,,,,
,,42,11,200,"PEKKA",1,,"true",,,"true",,,,,
"TH8_Gowipe_Golem","TID_NPC_CHALLENGE_TH8_GOWIPE_GOLEM",28,13,200,"Golem",1,,"true",,,"true",,,,,
"TH8_Gowipe_WallBreakers","TID_NPC_CHALLENGE_TH8_GOWIPE_WALL_BREAKERS",25,12,200,"Wall Breaker",2,,"true",,,"true","true","true",,,
"TH8_Gowipe_Support_Pekkas","TID_NPC_CHALLENGE_TH8_GOWIPE_SUPPORT_PEKKAS",27,13,200,"PEKKA",2,,"true",,,"true",,,,,
"TH8_Gowipe_BarbarianKing","TID_NPC_CHALLENGE_TH8_GOWIPE_BARBARIAN_KING",25,13,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH8_Gowipe_Wizards1","TID_NPC_CHALLENGE_TH8_GOWIPE_WIZARDS1",37,6,200,"Wizard",2,,"true",,25,"true",,,,,
,,15,8,200,"Wizard",2,,"true",,,"true",,,,,
"TH8_Gowipe_Wizards2","TID_NPC_CHALLENGE_TH8_GOWIPE_WIZARDS2",26,6,200,"Wizard",9,,"true",,,"true",,,,,
"TH8_Gowipe_Heal1","TID_NPC_CHALLENGE_TH8_GOWIPE_HEAL1",25,17,200,"HealingWave",1,,"true",,,"true",,,,,
"TH8_Gowipe_Rage","TID_NPC_CHALLENGE_RAGE_ON_ENTRANCE",25,17,200,"Haste",1,,"true",,,"true",,,,,
"TH8_Gowipe_Heal2","TID_NPC_CHALLENGE_TH8_GOWIPE_HEAL2",,,,,,,,10000,,,,,,,
"TH8_Gowipe_Clean_Up","TID_NPC_CHALLENGE_TH8_GOWIPE_CLEAN_UP",,,,,,,,10000,,,,,,,
"TH8_Gowiva_Earthquake","TID_NPC_CHALLENGE_FOUR_EARTHQUAKES",22,27,150,"Earthquake",4,,"true",,,"true","true","true",,,
"TH8_Gowiva_HogRider","TID_NPC_CHALLENGE_TH8_GOWIVA_HOG_RIDER",25,40,200,"Boar Rider",1,,"true",,,"true","true",,,,
"TH8_Gowiva_Archer","TID_NPC_CHALLENGE_TH8_GOWIVA_ARCHER",28,45,200,"Archer",1,,"true",,,"true","true","true",,,
"TH8_Gowiva_Poison","TID_NPC_CHALLENGE_TH8_GOWIVA_POISON",27,43,200,"Poison",1,,"true",,,"true","true","true",,,
"TH8_Gowiva_Golem","TID_NPC_CHALLENGE_TH8_GOWIVA_GOLEM",25,43,200,"Golem",1,,"true",,,"true","true","true",,,
"TH8_Gowiva_Wizards","TID_NPC_CHALLENGE_TH8_GOWIVA_WIZARDS",21,42,200,"Wizard",11,,"true",,,"true","true","true",,,
"TH8_Gowiva_BarbarianKing","TID_NPC_CHALLENGE_DEPLOY_BARBARIAN_KING",18,37,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH8_Gowiva_Valkyries","TID_NPC_CHALLENGE_TH8_GOWIVA_VALKYRIES",18,40,200,"Warrior Girl",14,,"true",,,"true",,,,,
,,40,30,200,"Warrior Girl",1,,"true",,,"true",,,,,
"TH8_Gowiva_Heal","TID_NPC_CHALLENGE_TH8_GOWIVA_HEAL",22,28,200,"HealingWave",1,,"true",,,"true",,,,,
"TH9_Lavaloon_BarbarianKing_1","TID_NPC_CHALLENGE_TH9_LAVALOON_BARBARIAN_KING_1",,,,,,,,10000,,"true",,,"true",,500000264
"TH9_Lavaloon_BarbarianKing_2","TID_NPC_CHALLENGE_TH9_LAVALOON_BARBARIAN_KING_2",,,,,,,,10000,,"true",,,,,
"TH9_Lavaloon_BarbarianKing_3","TID_NPC_CHALLENGE_TH9_LAVALOON_BARBARIAN_KING_2",46,24,200,"Barbarian King",1,,"true",,,"true","true","true",,,
"TH9_Lavaloon_KingAbility","TID_NPC_CHALLENGE_TH9_LAVALOON_KING_ABILITY",,,,"Barbarian King",,"true","true",,,"true",,,,,
"TH9_Lavaloon_ArcherQueen","TID_NPC_CHALLENGE_TH9_LAVALOON_ARCHER_QUEEN",49,27,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH9_Lavaloon_Wait_For_Hounds",,,,,,,,,,,"true",,,,"true",500000193
"TH9_Lavaloon_Haste1","TID_NPC_CHALLENGE_TH9_LAVALOON_HASTE1",25,42,200,"SpeedUp",1,,"true",,25,"true",,,,,
,,16,41,200,"SpeedUp",1,,,,,,,,,,
"TH9_Lavaloon_Hounds","TID_NPC_CHALLENGE_TH9_LAVALOON_HOUNDS",25,46,200,"AirDefenceSeeker",1,,"true",,25,"true",,,,,
,,15,46,200,"AirDefenceSeeker",1,,,,,,,,,,
"TH9_Lavaloon_Balloons","TID_NPC_CHALLENGE_TH9_LAVALOON_BALLOONS",15,47,300,"Balloon",13,,"true",,25,"true",,,,,
,,25,47,300,"Balloon",13,,,,,,,,,,
"TH9_Lavaloon_Freeze","TID_NPC_CHALLENGE_TH9_LAVALOON_FREEZE",26,31,200,"Freeze",1,,"true",,,"true",,,,,
"TH9_Lavaloon_Rage1","TID_NPC_CHALLENGE_TH9_LAVALOON_RAGE1",23,36,200,"Haste",1,,"true",,,"true",,,,,
"TH9_Lavaloon_Rage2","TID_NPC_CHALLENGE_TH9_LAVALOON_RAGE2",23,28,200,"Haste",1,,"true",,,"true",,,,,
"TH9_Lavaloon_Haste2","TID_NPC_CHALLENGE_TH9_LAVALOON_HASTE2",29,28,200,"SpeedUp",1,,"true",,,"true",,,,,
"TH9_Lavaloon_CleanUp","TID_NPC_CHALLENGE_TH9_LAVALOON_CLEAN_UP",,,,,,,,10000,,,,,,,
"KingHealthLow","TID_NPC_KING_HEALTH_LOW",,,,"Barbarian King",,"true","true",,,"true",,,,,
"QueenHealthLow","TID_NPC_QUEEN_HEALTH_LOW",,,,"Archer Queen",,"true","true",,,"true",,,,,
"WardenHealthLow","TID_NPC_WARDEN_HEALTH_LOW",,,,"Grand Warden",,"true","true",,,"true",,,,,
"ChampionHealthLow","TID_NPC_CHAMPION_HEALTH_LOW",,,,"Warrior Princess",,"true","true",,,"true",,,,,
"TH11_Lavaloon_Info_Eagle","TID_NPC_CHALLENGE_TH11_LAVALOON_INFO_EAGLE",,,,,,,,5000,,"true",,,"true",,500000043
"TH11_Lavaloon_Info_Queen","TID_NPC_CHALLENGE_TH11_LAVALOON_INFO_QUEEN",,,,,,,,5000,,"true",,,"true",,500000368
"TH11_Lavaloon_Jump","TID_NPC_CHALLENGE_TH11_LAVALOON_JUMP",8,12,200,"Jump",1,,"true",,,"true","true","true",,,
"TH11_Lavaloon_IceGolem","TID_NPC_CHALLENGE_TH11_LAVALOON_ICE_GOLEM",5,7,200,"Ice Golem",1,,"true",,,"true","true","true",,,
"TH11_Lavaloon_BarbarianKing","TID_NPC_CHALLENGE_TH11_LAVALOON_BARBARIAN_KING",3,12,200,"Barbarian King",1,,"true",,,"true","true","true",,,
"TH11_Lavaloon_ArcherQueen","TID_NPC_CHALLENGE_DEPLOY_ARCHER_QUEEN",3,11,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH11_Lavaloon_Wait_For_KingAbility",,,,,,,,,,,"true",,,,"true",500000024
"TH11_Lavaloon_KingAbility","TID_NPC_CHALLENGE_TH11_LAVALOON_KING_ABILITY",,,,"Barbarian King",,"true","true",,,"true",,,,,
"TH11_Lavaloon_Poison","TID_NPC_CHALLENGE_POISON_TO_SLOW_DOWN_QUEEN",18,13,200,"Poison",1,,"true",,,"true",,,,,
"TH11_Lavaloon_Balloons1","TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS1",26,4,200,"Balloon",8,,"true",,50,"true",,,,,
,,32,5,200,"Balloon",8,,,,,,,,,,
"TH11_Lavaloon_Hounds1","TID_NPC_CHALLENGE_TH11_LAVALOON_HOUNDS1",26,4,200,"AirDefenceSeeker",1,,"true",,50,"true",,,,,
,,32,5,200,"AirDefenceSeeker",1,,,,,,,,,,
"TH11_Lavaloon_GrandWarden","TID_NPC_CHALLENGE_DEPLOY_AIR_GRAND_WARDEN",26,4,200,"Grand Warden",1,,"true",,,"true",,,,,
"TH11_Lavaloon_Haste1","TID_NPC_CHALLENGE_TH11_LAVALOON_HASTE1",24,8,200,"SpeedUp",1,,"true",,25,"true",,,,,
,,31,11,200,"SpeedUp",1,,,,,,,,,,
,,35,21,200,"SpeedUp",1,,,,,,,,,,
"TH11_Lavaloon_StoneSlammer","TID_NPC_CHALLENGE_TH11_LAVALOON_STONE_SLAMMER",40,19,200,"Siege Bowler Balloon",1,,"true",,,"true",,,,,
"TH11_Lavaloon_Balloons2","TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS2",40,25,200,"Balloon",5,,"true",,,"true",,,,,
"TH11_Lavaloon_Hounds2","TID_NPC_CHALLENGE_TH11_LAVALOON_HOUNDS2",28,40,200,"AirDefenceSeeker",1,,"true",,,"true",,,,,
"TH11_Lavaloon_Balloons3","TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS3",23,40,200,"Balloon",4,,"true",,50,"true",,,,,
,,28,40,200,"Balloon",4,,,,,,,,,,
"TH11_Lavaloon_Rage","TID_NPC_CHALLENGE_RAGE_TOUGH_TARGETS",21,18,200,"Haste",1,,"true",,25,"true",,,,,
,,21,28,200,,1,,,,,,,,,,
"TH11_Lavaloon_Haste2","TID_NPC_CHALLENGE_TH11_LAVALOON_HASTE2",,,,"SpeedUp",,,,10000,,"true",,,,,
"TH11_Lavaloon_Minions","TID_NPC_CHALLENGE_TH11_LAVALOON_MINIONS",,,,"Gargoyle",,,,10000,,,,,,,
"TH11_Lavaloon_WardenAbility","TID_NPC_CHALLENGE_TH11_LAVALOON_WARDEN_ABILITY",,,,"Grand Warden",,"true","true",,,,,,,,
"TH9_BabydQW_ArcherQueen","TID_NPC_CHALLENGE_TH9_BABYDQW_ARCHER_QUEEN",45,38,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH9_BabydQW_Healers","TID_NPC_CHALLENGE_HEALERS_TO_SUPPORT_QUEEN",48,38,200,"Healer",5,,"true",,,"true","true","true",,,
"TH9_BabydQW_Wait_For_WallBreakers",,,,,,,,,,,"true",,,,"true",500000193
"TH9_BabydQW_WallBreakers","TID_NPC_CHALLENGE_TH9_BABYDQW_WALL_BREAKERS",43,29,200,"Wall Breaker",5,,"true",,,"true","true","true",,,
"TH9_BabydQW_Wait_For_Poison",,,,,,,,,,,"true",,,,"true",500000326
"TH9_BabydQW_Info_Wait","TID_NPC_CHALLENGE_TH9_BABYDQW_INFO_WAIT",,,,,,,,25000,,"true",,,"true",,500000326
"TH9_BabydQW_Poison","TID_NPC_CHALLENGE_TH9_BABYDQW_POISON",30,25,200,"Poison",1,,"true",,,"true","true","true",,,
"TH9_BabydQW_Rage","TID_NPC_CHALLENGE_TH9_BABYDQW_RAGE",36,25,200,"Haste",1,,"true",,,"true","true","true",,,
"TH9_BabydQW_Wait_For_King",,,,,,,,,,,"true",,,,"true",500000248
"TH9_BabydQW_BarbarianKing","TID_NPC_CHALLENGE_TH9_BABYDQW_BARBARIAN_KING",45,2,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH9_BabydQW_Wait_For_Jump",,,,,,,,,,,"true",,,,"true",500000257
"TH9_BabydQW_Jump","TID_NPC_CHALLENGE_TH9_BABYDQW_JUMP",32,13,200,"Jump",1,,"true",,,"true",,,,,
"TH9_BabydQW_Wait_For_BabyDragons",,,,,,,,,,,"true",,,,"true",500000253
"TH9_BabydQW_BabyDragons","TID_NPC_CHALLENGE_TH9_BABYDQW_BABY_DRAGONS",10,5,200,"BabyDragon",14,,"true",,,"true",,,,,
"TH9_BabydQW_Spells","TID_NPC_CHALLENGE_TH9_BABYDQW_SPELLS",,,,,,,,10000,,,,,,,
"TH10_Miner_ArcherQueen","TID_NPC_CHALLENGE_TH10_MINER_ARCHER_QUEEN",3,11,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH10_Miner_Healers","TID_NPC_CHALLENGE_HEALERS_TO_SUPPORT_QUEEN",1,16,200,"Healer",5,,"true",,,"true","true","true",,,
"TH10_Miner_Wait_For_Wall_Breakers",,,,,,,,,,,"true",,,,"true",500000227
"TH10_Miner_TestWallBreaker","TID_NPC_CHALLENGE_TH10_MINER_TEST_WALL_BREAKER",2,30,200,"Wall Breaker",1,,"true",,,"true","true","true",,,
"TH10_Miner_WallBreakers","TID_NPC_CHALLENGE_TH10_MINER_WALL_BREAKERS",2,30,200,"Wall Breaker",3,,"true",,,"true","true","true",,,
"TH10_Miner_Wait_For_Rage",,,,,,,,,,,"true",,,,"true",500000234
"TH10_Miner_Wizards1","TID_NPC_CHALLENGE_TH10_MINER_WIZARDS1",2,35,200,"Wizard",1,,"true",,,"true","true","true",,,
,,2,44,200,,1,,,,,,,,,,
"TH10_Miner_Poison","TID_NPC_CHALLENGE_POISON_TO_SLOW_DOWN_QUEEN",20,30,200,"Poison",1,,"true",,,"true","true","true",,,
"TH10_Miner_Rage","TID_NPC_CHALLENGE_TH10_MINER_RAGE",13,29,200,"Haste",1,,"true",,,"true","true","true",,,
"TH10_Miner_Wait_For_Miners",,,,,,,,,,,"true",,,,"true",500000000
"TH10_Miner_Miners","TID_NPC_CHALLENGE_TH10_MINER_MINERS",3,41,300,"Miner",23,,"true",,,"true",,,,,
"TH10_Miner_Wizards2","TID_NPC_CHALLENGE_TH10_MINER_WIZARDS2",40,48,200,"Wizard",1,,"true",,,"true",,,,,
,,48,40,200,,1,,,,,,,,,,
"TH10_Miner_BarbarianKing","TID_NPC_CHALLENGE_TH10_MINER_BARBARIAN_KING",48,30,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH10_Miner_Wizards3","TID_NPC_CHALLENGE_TH10_MINER_WIZARDS3",37,2,200,"Wizard",1,,"true",,,"true",,,,,
,,48,7,200,,1,,,,,,,,,,
"TH10_Miner_Heals","TID_NPC_CHALLENGE_TH10_MINER_HEALS",,,,,,,,15000,,,,,,,
"TH9_Witch_FunnelWizard","TID_NPC_CHALLENGE_TH9_WITCH_FUNNEL_WIZARD",28,6,150,"Wizard",1,,"true",,,"true","true","true",,,
"TH9_Witch_ArcherQueen","TID_NPC_CHALLENGE_TH9_WITCH_ARCHER_QUEEN",36,5,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH9_Witch_Healers","TID_NPC_CHALLENGE_HEALERS_TO_SUPPORT_QUEEN",38,4,200,"Healer",4,,"true",,,"true","true","true",,,
"TH9_Witch_Wait_For_Earthquake",,,,,,,,,,,"true",,,,"true",500000118
"TH9_Witch_Earthquake","TID_NPC_CHALLENGE_FOUR_EARTHQUAKES",27,34,200,"Earthquake",4,,"true",,,"true","true","true",,,
"TH9_Witch_Wait_For_Deploy",,,,,,,,,,,"true",,,,"true",500000027
"TH9_Witch_Golems","TID_NPC_CHALLENGE_TH9_WITCH_GOLEMS",24,43,200,"Golem",1,,"true",,,"true",,,,,
,,30,43,200,,1,,,,,,,,,,
"TH9_Witch_Witches1","TID_NPC_CHALLENGE_TH9_WITCH_WITCHES1",10,46,200,"Warlock",2,,"true",,,"true",,,,,
"TH9_Witch_Witches2","TID_NPC_CHALLENGE_TH9_WITCH_WITCHES2",22,43,200,"Warlock",3,,"true",,,"true",,,,,
,,30,43,200,,3,,,,,,,,,,
"TH9_Witch_BarbarianKing","TID_NPC_CHALLENGE_DEPLOY_BARBARIAN_KING",30,43,200,"Barbarian King",1,,"true",,,"true",,,,,
"TH9_Witch_Rage","TID_NPC_CHALLENGE_RAGE_ON_ENTRANCE",26,34,200,"Haste",1,,"true",,,"true",,,,,
"TH9_Witch_Poison","TID_NPC_CHALLENGE_POISON_TO_SLOW_DOWN_QUEEN",28,26,200,"Poison",1,,"true",,,"true","true",,,,
"TH9_Witch_Wait_For_Jump",,,,,,,,,,,"true",,,,"true",500000254
"TH9_Witch_Jump","TID_NPC_CHALLENGE_JUMP_TO_CLOSED_COMPARTMENTS",22,20,200,"Jump",1,,"true",,,"true","true","true",,,
"TH9_Witch_Wizard","TID_NPC_CHALLENGE_TH9_WITCH_WIZARD",,,,,,,,15000,,,,,,,
"TH11_Edrag_FunnelEdrag1","TID_NPC_CHALLENGE_TH11_EDRAG_FUNNEL_EDRAG1",37,47,200,"Electro Dragon",1,,"true",,,"true","true","true",,,
"TH11_Edrag_Wait_For_Queen",,,,,,,,,,,"true",,,,"true",500000231
"TH11_Edrag_ArcherQueen","TID_NPC_CHALLENGE_TH11_EDRAG_ARCHER_QUEEN",28,47,200,"Archer Queen",1,,"true",,,"true","true","true",,,
"TH11_Edrag_Wait_For_Blimp",,,,,,,,,,,"true",,,,"true",500000232
"TH11_Edrag_BattleBlimp","TID_NPC_CHALLENGE_TH11_EDRAG_BATTLE_BLIMP",19,48,200,"Siege Machine Flyer",1,,"true",,,"true","true","true",,,
"TH11_Edrag_Rage1","TID_NPC_CHALLENGE_TH11_EDRAG_RAGE1",25,30,200,"Haste",1,,"true",,,"true","true","true",,,
"TH11_Edrag_Clones","TID_NPC_CHALLENGE_TH11_EDRAG_CLONES",25,30,200,"Duplicate",2,,"true",,,"true","true","true",,,
"TH11_Edrag_Deploy_Blimp","TID_NPC_CHALLENGE_TH11_EDRAG_DEPLOY_BLIMP",,,,"Siege Machine Flyer",,"true","true",,,"true",,,,,
